0.46,-0.47,0.02,359.35,356.51,358.88,00:00:04.4450970
0.47,-0.44,0.01,359.34,356.62,359.19,00:00:04.5381490
0.47,-0.44,0.01,359.65,356.56,359.2,00:00:04.5664400
0.47,-0.44,0.01,359.96,356.5,359,00:00:04.5963520
0.47,-0.44,0.01,359.91,356.44,358.95,00:00:04.6258900
0.47,-0.44,0.01,359.78,356.47,358.96,00:00:04.6528100
0.47,-0.44,0.01,359.67,356.5,359.11,00:00:04.6866610
0.47,-0.44,0.01,359.37,356.48,359.2,00:00:04.7254700
0.47,-0.44,0.01,359.65,356.43,359.13,00:00:04.7587790
0.47,-0.44,0.01,359.6,356.43,359.11,00:00:04.8011690
0.47,-0.44,0.01,359.55,356.46,359.25,00:00:04.8227960
0.47,-0.44,0.01,359.69,356.48,359.25,00:00:04.8449100
0.47,-0.44,0.01,359.87,356.45,359.16,00:00:04.8850510
0.47,-0.44,0.01,359.99,356.47,359.18,00:00:04.9112030
0.47,-0.44,0.01,359.65,356.35,359.23,00:00:04.9457690
0.47,-0.44,0.01,359.78,356.3,359.06,00:00:04.9809810
0.47,-0.44,0.01,359.77,356.32,359.08,00:00:05.0140640
0.47,-0.44,0.01,359.83,356.35,359.04,00:00:05.1057390
0.47,-0.44,0.01,359.89,356.34,359.03,00:00:05.1349880
0.47,-0.44,0.01,359.83,356.35,359.03,00:00:05.1462220
0.47,-0.44,0.01,359.82,356.37,359.04,00:00:05.1798180
0.47,-0.44,0.01,359.97,356.26,358.77,00:00:05.2365900
0.47,-0.44,0.01,359.82,356.39,358.89,00:00:05.2713750
0.47,-0.44,0.01,359.58,356.5,359.17,00:00:05.3033020
0.47,-0.44,0.01,0.09,356.49,359.19,00:00:05.3329800
0.47,-0.44,0.01,0.3,356.43,359.02,00:00:05.3447320
0.47,-0.44,0.01,0.09,356.44,359.01,00:00:05.3785020
0.47,-0.44,0.01,359.96,356.45,359.04,00:00:05.4124740
0.47,-0.44,0.01,359.65,356.46,359.12,00:00:05.4447140
0.47,-0.44,0.01,0.03,356.44,359.09,00:00:05.4788950
0.47,-0.44,0.01,0.1,356.4,358.96,00:00:05.5112690
0.47,-0.44,0.01,0.4,356.35,358.72,00:00:05.5453870
0.47,-0.44,0.01,0.49,356.38,358.97,00:00:05.5838970
0.47,-0.44,0.01,0.31,356.34,358.7,00:00:05.6256460
0.47,-0.44,0.01,358.15,356.39,359.99,00:00:05.6575340
0.47,-0.44,0.01,358.26,356.4,359.98,00:00:05.6799880
0.47,-0.44,0.01,357.78,356.4,0.04,00:00:05.7132060
0.47,-0.44,0.01,357.7,356.46,359.49,00:00:05.7574800
0.47,-0.44,0.01,357.28,356.52,359.5,00:00:05.8010510
0.47,-0.43,0.01,357.36,356.49,359.4,00:00:05.8356880
0.47,-0.43,0.01,357.68,356.22,356.85,00:00:05.8957590
0.47,-0.43,0.01,357.07,356.31,356.22,00:00:05.9255410
